,idx,iso,ss,aperture
0,1.0,250,1/4,f5.0
0,2.0,2000,1/4,f5.0
0,3.0,16000,1/4,f5.0
0,4.0,250,1/60,f5.0
0,5.0,2000,1/60,f5.0
0,6.0,16000,1/60,f5.0
0,7.0,250,1/1000,f5.0
0,8.0,2000,1/1000,f5.0
0,9.0,16000,1/1000,f5.0
0,10.0,250,1/4,f9.0
0,11.0,2000,1/4,f9.0
0,12.0,16000,1/4,f9.0
0,13.0,250,1/60,f9.0
0,14.0,2000,1/60,f9.0
0,15.0,16000,1/60,f9.0
0,16.0,250,1/1000,f9.0
0,17.0,2000,1/1000,f9.0
0,18.0,16000,1/1000,f9.0
0,19.0,250,1/4,f16
0,20.0,2000,1/4,f16
0,21.0,16000,1/4,f16
0,22.0,250,1/60,f16
0,23.0,2000,1/60,f16
0,24.0,16000,1/60,f16
0,25.0,250,1/1000,f16
0,26.0,2000,1/1000,f16
0,27.0,16000,1/1000,f16
